1969,Figures in a landscape,
1969,From Scenes like this,
1969,Something to answer for,"certain, brutal"
1969,The Impossible Object,
1969,The Nice and the good,
1969,The Public Image,
1970,Bruno's dream,elderly
1970,Eva Trout,
1970,John Brown's Body,
1970,Mrs Eckdorf in O'Neill's Hotel,
1970,The Elected Member,"clever, brilliant"
1971,Briefing for a Descent into Hell,mad
1971,Goshawk Squadron,
1971,In a free State,
1971,Mrs. Palfrey at the Claremont,"handsome, young"
1971,The Big Chapel,
1971,St Urbain's Horsemen,"modest, success, legend"
1972,G.,young
1972,Pasmore,
1972,The Bird of Night,greatest
1972,The Chant Of Jimmie Blacksmith,
1973,The Dressmaker,
1973,The Green Equinox,
1973,The Siege of Krishnapur,
1973,The Black Prince,
1974,The Bottle Factory Outing,
1974,The Conservationist,rich
1974,Ending Up,
1974, Gossip from the Forest,
1974,Holiday,
1974,In Their Wisdom,
1975,Heat and Dust,Indian
1975, Gossip from the Forest,
1976, Saville,young
1976,Rising,"arrogance, brutality"
1976,King Fisher Lives,
1976,The Doctor's Wife,
1976,The Children of Dynmouth,
1976, An Instant in the Wind,
1977,Shadows on our Skin,
1977, Staying On,
1977,The Road to Lichfield,
1977,Quartet in Autumn,
1978,"The Sea, the Sea",
1978,The Bookshop,
1978,Rumours Of Rain,wealthy
1978,Jake's Thing,
1979,Praxis,
1979,Offshore,buttoned-up
1079,Joseph,"self-styled, educated"
1979,Confederates,
1979,No Country for Young Men,
1980,Pascali's Island,charming
1980,Beggar Maid,
1980,Rites Of Passage,
1980,Earthly Powers,"emminent,outlived"
1981,A Month in the Country,
1981,Clear Light of Day,"popular, brilliant"
1981,The White Hotel,
1981,The Sirian Experiments,
1981,The Comfort of Strangers,
1981,Rhine Journey,
1981,Midnight's Children,
1981,Loitering with Intent,egomaniacal
1982,Good Behaviour,
1982,The 27th Kingdom,
1982, Sour Sweet,
1982,An Ice-Cream War,
1982," Constance, or Solitary Practices","mercurial, shaggy"
1982,Schindler's List,flamboyant
1983,Silence Among the Weapons,
1983,Flying to Nowhere,
1983,Rates of Exchange,"stuffy, palefaced, middle-aged"
1983,Shame,
1983,The Illusionist,formidable
1985, Waterland,
1985,The Good Terrorist,
1985,The Good Apprentice,reclusive
1984,The Bone People,"mercurial, shaggy"
1984,Last Letters from Hav,
1986,Illywhacker,confident
1986,An Artist of the Floating World,mature
1986, An Insular Possession,
1986,Gabriel's Lament,snob
1986,The Handmaid's Tale,
1986,The Old Devils,celebrated
1987,What's Bred in the Bone,
1987,The Colour of Blood,
1987,The Book and the Brotherhood,
1987,Moon Tiger,
1987,Circles of Deceit,
1987,Chatterton,"genius, mysterious"
1988,Anthills of the Savannah,
1988,The Lost Father,
1988,Nice Work,
1988, Oscar and Lucinda,
1988,The Satanic Verses,
1988,The Beginning of Spring,
1989,Utz,"fascinating, enigmatic"
1989, A Disaffection,"frustrated, bitter"
1989,Cat's Eye,
1989,Jigsaw: An Unsentimental Education,
1989, Restoration ,
1989,The Book of Evidence,
1990,The Remains of the Day,
1990,Solomon Gursky Was Here,"mysterious, powerful"
1990, Possession,
1989,Lies of Silence,
1990,An Awfully Big Adventure,
1990, Amongst Women,old
1991,The Gate of Angels,"best, brightest"
1991,Time's Arrow,
1991,Such a Long Journey,devoted
1991,The Famished Road ,
1991,The Redundancy of Courage,
1991,Reading Turgenev,
1992,The Van,miserable
1992,Black Dogs,
1992, Daughters of the House,
1992,Sacred Hunger,
1992, Serenity House,"old, genial, special"
1992,The Butcher Boy,
1992,The English Patient,
1993,Under the frog,improbable
1993,the stone diaries,
1993,scar tissue,young
1993,Remembering Babylon,
1993,Paddy Clarke Ha Ha Ha,
1993, Crossing the River,
1995,The Riders,ruddy
1995,The Moor’s Last Sigh,ugly
1995,The Ghost Road,
1995,Morality Play,"young, renegade"
1994,Beside the Ocean of Time,"idle, useless"
1995,In Every Face I Meet,
1994,The Folding Star,"old, gay, disillusioned"
1994,Knowledge of Angels,
1994,"How Late It Was, How Late",
1994,Paradise,
1994,Reef,"young, talented"
1996,The Orchard on Fire,"kind, generous, old"
1996,Reading in the Dark,
1996,Last Orders,greatest
1996, Every Man for Himself,
1996,A Fine Balance,
1997,Alias Grace,
1997,The Underground Man,
1997,The God of Small Things,
1997,The Essence of the Thing,"dependable, strong, adorable"
1997, Quarantine,
1997,Grace Notes,
1998,The Map of Love,
1998,The Blackwater Lightship,
1998,Our Fathers,modern
1998,Headlong,
1998,"Fasting, Feasting",young
1998,Disgrace,
1999,The Restraint of Beasts,
1999,The Industry of Souls,
1999,Master Georgie,
1999,"England, England",
1999, Breakfast on Pluto,
1999,Amsterdam,famous
2000,English Passengers,
2000, The Blind Assassin,
2000,The Deposition of Father McGreevy,
2000,The Hiding Place,
2000,The Keepers of Truth,
2000,When we were Orphans,
2001,Atonement,
2001,Hotel World,
2001,number9dream,
2001,Oxygen,
2001,The Dark Room,
2001,True History of the Kelly Gang,
2002,Dirt Music,
2002, Family Matters,
2002,Fingersmith,elegant
2002,Life of Pi,
2002,The story of lucy Gault,
2002,unless,
2003,Astonishing Splash,
2003,Brick Lane,
2003,Notes On a scandal,
2003,Oxy and Crake,
2003,The Good doctor,"young, optimistic"
2003,Vernon God Little,
2004,Bitter Fruit,
2004,Cloud Atlas,
2004,I'll go to bed at noon,
2004,The electric Michelangelo,
2004,The line of beauty,ambitious
2004,The master,vulnerable
2005,A long Long way,
2005,Never Let me go,
2005,On Beauty,
2005,The accidental,
2005,The Sea,
2005,Arthur and George,
2006,carry Me Down,
2006,In the country of men,
2006,Mother's Milk,
2006,The Inheritance of loss,embittered
2006,The Night Watch,
2006,The secret river,
2007,Animal People,
2007,Darkman's,
2007,Mister pip,
2007,Oh Chesil Beach,
2007,The gathering,
2007,The reluctant fundamentalist,
2008,A fraction of the whole,
2008,Sea of poppies,
2008,The clothes on them,
2008,The northern,
2008,The secret scripture,
2008,the white tiger,
2009,Summertime,young
2009,The Children's book,
2009,The glassroom,
2009,The little stranger,curious
2009,The quickening maze,"young, great"
2009,Wolf hall,
2010,C,intense
2010,In a strange room,
2010,parrot and olivier,young
2010,Room,
2010,The finkler Question,
2010,The Long Song,
2011,Half Blood Blues,
2011,Jamrach's Menager,"famed, competitive"
2011,Pigeon english,
2011,Snowdrops,
2011,The sense of an Ending,
2011,The sisters Brothers,"murderous, reluctant"
2012,Bring Up The Bodies,
2012,Narcopolis,
2012,Swimming Home,
2012,The Garden of ,
2012,The lighthouse,
2012,Umbrella,
2014,How to be both,
2014,j,
2014,The lives of Others,
2014,The Narrow road to th e deep north,
2014,To rise again At a decent Hour,rabid
2014, We Are All Completely Beside Ourselves,
2013,A tale or time,
2013,Harvest,
2013,The Lowlands,"charismatic, impulsive"
2013,The luminaries,young
2013,The testament Of many,
2013,We need new names,
2015,A brief history of seven killings,
2015,A little life,"kind, handsome, cruel, frustrated,brilliant"
2015,A spool of blue thread,
2015,Satin Island,
2015,The fishermen,
2015,The yaer of runaways,
2016,All that man is,
2016,Do not say we have nothing,
2016,eileen,
2016,His bloody Project,
2016,Hot milk,famous
2016,the sellout,
2017,4321,
2017,Autumn,
