Year,Title,Male Mentions,Female Mentions
2017,4 3 2 1,6,3
2017,Autumn,2,3
2017,Elmet,11,1
2017,Exit West,2,3
2017,History of Wolves,4,9
2017,Lincoln in the Bardo,7,0
2016,All That Man Is,5,0
2016,Do Not Say We Have Nothing,0,7
2016,Eileen,2,3
2016,His Bloody Project,6,0
2016,Hot Milk,3,5
2016,The Sellout,4,0
2015,A Brief History of Seven Killings,7,0
2015,A Little Life,6,0
2015,A Spool of Blue Thread,1,5
2015,Satin Island,12,2
2015,The Fishermen,3,0
2015,The Year of the Runaways,5,2
2014,How to be Both,0,2
2014,J,6,4
2014,The Lives of Others,2,0
2014,The Narrow Road to the Deep North,2,0
2014,To Rise Again at a Decent Hour,6,0
2014,We Are All Completely Beside Ourselves,1,11
2013,A Tale for the Time Being,0,6
2013,Harvest,1,0
2013,The Lowland,7,0
2013,The Luminaries,5,0
2013,The Testament of Mary,1,5
2013,We Need New Names,1,9
2012,Bring up the Bodies,6,10
2012,Narcopolis,1,1
2012,Swimming Home,0,1
2012,The Garden of Evening Mists,3,10
2012,The Lighthouse,5,0
2012,Umbrella,10,3
2011,Half Blood Blues,11,0
2011,Jamrach’s Menagerie,7,0
2011,Pigeon English,7,1
2011,Snowdrops,0,0
2011,The Sense of an Ending,6,0
2011,The Sisters Brothers,9,0
2010,C,3,0
2010,In a Strange Room,4,0
2010,Parrot and Olivier in America,5,0
2010,Room,23,9
2010,The Finkler Question,10,0
2010,The Long Song,5,5
2009,Summertime,9,2
2009,The Children’s Book,0,3
2009,The Glass Room,1,3
2009,The Little Stranger,8,5
2009,The Quickening Maze,5,0
2009,Wolf Hall,9,1
2008,A Fraction of the Whole,11,0
2008,Sea of Poppies,0,1
2008,The Clothes on Their Backs,1,8
2008,The Northern Clemency,2,1
2008,The Secret Scripture,1,3
2008,The White Tiger,8,0
2007,Title,3,6
2007,Darkmans,0,0
2007,Mister Pip,6,1
2007,Title,3,3
2007,The Gathering,1,5
2007,The Reluctant Fundamentalist,5,1
2006,Carry Me Down,5,0
2006,Title,7,1
2006,Mother’s Milk,6,1
2006,The Inheritance of Loss,1,2
2006,The Night Watch,1,5
2006,The Secret River,3,1
2005,Arthur and George,5,0
2005,A Long Long Way,11,0
2005,Never Let Me Go,1,8
2005,On Beauty,9,5
2005,The Accidental,5,14
2005,The Sea,6,0
2004,Bitter Fruit,9,1
2004,Cloud Atlas,6,1
2004,I’ll Go To Bed At Noon,4,2
2004,The Electric Michelangelo,2,3
2004,The Line of Beauty,2,1
2004,The Master,7,0
2003,Astonishing Splashes of Colour,1,2
2003,Brick Lane,0,6
2003,Notes on a Scandal,0,8
2003,Oryx and Crake,3,4
2003,The Good Doctor,9,0
2003,Vernon God Little,7,0
2002,Dirt Music,9,2
2002,Family Matters,6,2
2002,Fingersmith,1,10
2002,Life of Pi,5,0
2002,The Story of Lucy Gault,1,5
2002,Unless,0,3
2001,Atonement,1,2
2001,Hotel World,0,9
2001,number9dream,5,0
2001,Oxygen,1,2
2001,The Dark Room,4,1
2001,True History of the Kelly Gang,6,0
2000,English Passengers,8,0
2000,The Blind Assassin,0,8
2000,The Deposition of Father McGreevy,5,1
2000,The Hiding Place,6,12
2000,The Keepers of Truth,6,0
2000,When we were Orphans,7,2
1999,Disgrace,10,0
1999,Fasting Feasting,2,4
1999,Headlong,2,0
1999,Our Fathers,7,0
1999,The Blackwater Lightship,1,4
1999,The Map of Love,2,8
1998,Amsterdam,4,2
1998,Breakfast on Pluto,3,3
1998,England, England,4,0
1998,Master Georgie,5,1
1998,The Industry of Souls,7,0
1998,The Restraint of Beasts,0,0
1997,Europa,2,0
1997,Grace Notes,1,6
1997,Quarantine,1,0
1997,The Essence of the Thing,5,7
1997,The God of Small Things,3,5
1997,The Underground Man,4,0
1996,Alias Grace,2,4
1996,A Fine Balance,1,0
1996,Every Man for Himself,0,0
1996,Last Orders,2,0
1996,Reading in the Dark,6,1
1996,The Orchard on Fire,2,5
1995,In Every Face I Meet,2,0
1995,Morality Play,3,0
1995,The Ghost Road,7,0
1995,The Moor’s Last Sigh,6,2
1995,The Riders,4,3
1994,Beside the Ocean of Time,7,0
1994,How Late It Was, How Late,4,1
1994,Knowledge of Angels,0,0
1994,Paradise,10,0
1994,Reef,7,0
1994,The Folding Star,6,0
1993,Crossing the River,1,0
1993,Paddy Clarke Ha Ha Ha,10,0
1993,Remembering Babylon,5,0
1993,Scar Tissue,2,2
1993,The Stone Diaries,0,2
1993,Under the Frog,3,0
1992,Black Dogs,7,1
1992,Daughters of the House,0,4
1992,Sacred Hunger,6,0
1992,Serenity House,3,0
1992,The Butcher Boy,2,5
1992,The English Patient,3,1
1991,Reading Turgenev,0,2
1991,Such a Long Journey,6,1
1991,The Redundancy of Courage,0,0
1991,The Van,3,0
1991,The Famished Road,5,0
1991,Time's Arrow,3,0
1990,Amongst Women,3,0
1990,An Awfully Big Adventure,0,2
1990,Lies of Silence,6,0
1990,Possession,0,0
1990,Solomon Gursky Was Here,8,0
1990,The Gate of Angels,2,1
1989,A Disaffection,6,0
1989,Cat's Eye,0,4
1989,Jigsaw,1,2
1989,Restoration,7,0
1989,The Book of Evidence,3,0
1989,The Remains of the Day,2,0
1988,The Lost Father,2,3
1988,Nice Work,2,1
1988,Oscar and Lucinda,3,2
1988,The Satanic Verses,0,0
1988,The Beginning of Spring,5,3
1988,Utz,8,0
1987,Anthills of the Savannah,3,1
1987,Chatterton,2,0
1987,Circles of Deceit,2,1
1987,Moon Tiger,0,5
1987,The Book and the Brotherhood,6,2
1987,The Colour of Blood,3,0
1986,An Insular Possession,0,0
1986,Gabriel's Lament,5,0
1986,The Handmaid's Tale,1,1
1986,The Old Devils,0,0
1986,What's Bred in the Bone,3,0
1985,An Artist of the Floating World,3,0
1985,Illywhacker,1,0
1985,Last Letters from Hav,0,0
1985,The Bone People,2,2
1985,The Good Apprentice,7,0
1985,The Good Terrorist,0,2
1983,Flying to Nowhere,4,0
1983,Rates of Exchange,7,0
1983,Shame,0,0
1983,The Illusionist,6,4
1983,Waterland,0,0
1982,An Ice-Cream War,2,0
1982,Constance, or Solitary Practices,4,2
1982,Schindler's List,4,0
1982,Silence Among the Weapons,2,0
1982,Sour Sweet,1,0
1982,The 27th Kingdom,1,3
1981,Good Behaviour,0,1
1981,Loitering with Intent,3,4
1981,Midnight's Children,3,0
1981,Rhine Journey,1,6
1981,The Beggar Maid,0,3
1981,The Comfort of Strangers,1,1
1981,The Sirian Experiments,0,0
1981,The White Hotel,1,0
1980,A Month in the Country,7,0
1980,Clear Light of Day,3,7
1980,Earthly Powers,5,0
1980,No Country for Young Men,0,0
1980,Pascali's Island,6,0
1980,Rites of Passage,4,0
1980,The Beggar Maid,0,3
1979,Confederates,0,0
1979,Joseph,1,0
1979,Offshore,0,1
1979,Praxis,0,0
1978,God on the Rocks,0,3
1978,Jake's Thing,3,1
1978,Rumours Of Rain,2,0
1978,The Bookshop,0,5
1978,The Sea, the Sea,1,1
1977,Quartet in Autumn,0,0
1977,Shadows on our Skin,2,1
1977,Staying On,1,1
1977,The Road to Lichfield,1,2
1976,An Instant in the Wind,8,3
1976,The Children of Dynmouth,0,0
1976,The Doctor's Wife,0,2
1976,King Fisher Lives,0,0
1976,Rising,3,0
1976,Saville,3,0
1975,Gossip from the Forest,2,0
1975,Heat and Dust,1,2
1974,The Bottle Factory Outing,0,3
1974,The Conservationist,3,1
1974,Ending Up,0,0
1974,Gossip from the Forest,2,0
1974,Holiday,5,1
1974,In Their Wisdom,0,0
1973,The Black Prince,5,0
1973,The Dressmaker,0,7
1973,The Green Equinox,0,0
1973,The Siege of Krishnapur,0,0
1972,G.,2,1
1972,Pasmore,12,0
1972,The Bird of Night,4,0
1972,The Chant Of Jimmie Blacksmith,0,0
1971,Briefing for a Descent into Hell,4,0
1971,Goshawk Squadron,6,0
1971,In a free State,1,1
1971,Mrs. Palfrey at the Claremont,1,4
1971,The Big Chapel,4,0
1971,St Urbain's Horsemen,8,0
1970,Bruno's dream,6,0
1970,Eva Trout,2,6
1970,John Brown's Body,4,3
1970,Mrs Eckdorf in O'Neill's Hotel,0,2
1970,The Elected Member,4,2
1969,Figures in a landscape,0,0
1969,From Scenes Like These,4,0
1969,Something to answer for,8,2
1969,The Impossible Object,0,0
1969,The Nice and The good,1,1
1969,The Public Image,0,1
