2017,4 3 2 1,go;falls;written,have
2017,Autumn,is,has
2017,Elmet,heading;looking;built;gone;disappeared;was;was;told;began,
2017,Exit West,makes,live;move
2017,History of Wolves,is;returns,lives;are;grown;notices;starts;feels;struggles
2017,Lincoln in the Bardo,arrives;paces;communicate;is,
2016,All That Man Is,plots;is;brings;is;MAN,
2016,Do Not Say We Have Nothing,,invite;tells
2016,Eileen,arrives,fills
2016,His Bloody Project,defend;was;have;commit;hang,
2016,Hot Milk,cure;has,spent;travel;discovers
2016,The Sellout,spent;realizes;initiates,
2015,A Brief History of Seven Killings,was;stormed;go;left,
2015,A Little Life,fears;be,
2015,A Spool of Blue Thread,,begins;fell;accumulated
2015,Satin Island,waiting;stumbles;feels;overwhelmed;seeing;begins;captures;can;experience;think,is
2015,The Fishermen,has;take,
2015,The Year of the Runaways,come;has,is
2014,How to be Both,,is
2014,J,know;drew;said;kisses;ask,grown;was;came
2014,The Lives of Others,preside,
2014,The Narrow Road to the Deep North,,
2014,To Rise Again at a Decent Hour,is;loves;'s;watches;be,
2014,We Are All Completely Beside Ourselves,,has;tells;was;was;was;'s;guides;dangled;is
2013,A Tale for the Time Being,,decided;ends;plans;imagine
2013,Harvest,details,
2013,The Lowland,was;was;drawn;give;believes,
2013,The Luminaries,come;stumbles;vanished,
2013,The Testament of Mary,was,tries;struggles;knows;emerges
2013,We Need New Names,left,is;navigate;steal;has;has;travels;tells
2012,Bring up the Bodies,battled;is;ally;pay,failed;dies;stands;stands;yield;bring
2012,Narcopolis,,leans
2012,Swimming Home,,
2012,The Garden of Evening Mists,come,seeks;grew;discovers;seeks;design;finds;drawn;managed
2012,The Lighthouse,stands;heading;forget;neglected,
2012,Umbrella,is;abandoned;has;encounters;becomes,fell;is
2011,Half Blood Blues,told;was;was;was;discovers;thought;shares,
2011,Jamrach’s Menagerie,goes;recruits;enjoy,
2011,Pigeon English,lives;absorbs;decides;endangers;falls,spun
2011,Snowdrops,,
2011,The Sense of an Ending,met;was;is;tried,
2011,The Sisters Brothers,are;have;makes;doubts;is,
2010,C,finds;steeped,
2010,In a Strange Room,makes;travels;meets;is,
2010,Parrot and Olivier in America,is;wanted;sets,
2010,Room,is;lives;have;turns;been;calls;have;believes;sees;’s;’s;know;has;visits;is;finds;cuts;is;has;manages;manages,keeps;keeps;tries;realizes;thought;decides;tell;spend
2010,The Finkler Question,seen;are;are;finds;has;is,
2010,The Long Song,tells;says;suggests;wishes,is;was;was
2009,Summertime,plans;sharing;was;embarks;had;writes;limbers,had
2009,The Children’s Book,,is;writes
2009,The Glass Room,,
2009,The Little Stranger,is;visited;approaches;recognizes;seems;believes,believes;is
2009,The Quickening Maze,finds,
2009,Wolf Hall,dies;oppose;broken;broken;picks;is;is,
2008,A Fraction of the Whole,decide;is;reflect;realizes;recollects;recounts;disdains,
2008,Sea of Poppies,,
2008,The Clothes on Their Backs,exposes,grows;learns;loses;defines;forges;is
2008,The Northern Clemency,,
2008,The Secret Scripture,,faces;talks
2008,The White Tiger,is;came;gets;watches;learns;finds;teaches,
2007,Title,remember;lives,struggling;is
2007,Darkmans,,
2007,Mister Pip,chooses;says,
2007,Title,caught,is;create
2007,The Gathering,,delivers;collects;shares
2007,The Reluctant Fundamentalist,begins;living;thrives;finds,
2006,Carry Me Down,is;remember;remains;is,
2006,Title,sees;supposed;going;lie;hope;disappear,burns
